id,name,symbol,dedust,stonfi
EQBuHdO7gbmG20ocX6Xq9WD9goTW2klOEF01YI1XjyO3tzoY,,,True,False
EQA7FiQPun8c0tzqNwt9hPhvNkZqUXsD330ssk_7gBUprWBE,,,True,True
EQB-MPwrd1G6WKNkLz_VnV6WqBDd142KMQv-g1O-8QUA3728,TON Bridge USDC,jUSDC,True,True
EQDCkPEfbPx4YANZ7oEOXZYkzzzMyoxsKSwKkDR25Svpu71s,,,True,False
EQA2kCVNwVsil2EM2mB0SkXytxCqQjS4mttjDpnXmwG9T6bO,,,True,True
EQDpSDjNWMMe6C_ND1aIVBctEZyY8HxiYZ6M6KUHEJCaVtTO,,,True,True
EQBzKrzfB2fidoQgB4EpILOF5ISDgCX0rM86txh4M3a4Eygq,,,True,False
EQCFOamVqBfwwnUfj1gxzeTkJIanG1U5zh9STvz0zfEw7ak4,,,True,False
EQDAsSH7EN-MEYWXWguZOBDmLj82bDFafMj3kdYirIjxKKLJ,,,True,False
EQCv6MKiwG5zEX91zK__MZdSEWkP4FbQotGY7-Xg6OmH6T_X,,,True,True
EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs,Tether USD,USDT,True,True
EQAYXETLBGW8CSfMf1zXsiIJ_XoQbl50GClmnuByz4kwLgme,,,True,False
EQAAXwH0cajPsMF-nNC5kz-SaLaeaDr4M7Q1foVwP_vOW1tR,Orbit Bridge DAI,oDAI,True,False
EQCdMEE62V7XIPEZ5QHqFR6Vc8Cz6uOh0TRg2rweqSfozEe0,,,True,False
EQBynBO23ywHy_CgarY9NK9FTz0yDsG82PtcbSTQgGoXwiuA,TON Bridge USDT,jUSDT,True,True
EQC_1YoM8RBixN95lz7odcF3Vrkc_N8Ne7gQi7Abtlet_Efi,Orbit Bridge USDT,oUSDT,True,True
EQCWgGINrC8FKvLY6fSDklhE2qhkro5MGZVU0Dd_yTPbOOjr,,,True,False
EQCONP3zGOUmNV_5NZI5WrFyz00pN0UG3f3xF3FlrQ-_G8_P,,,True,False
EQAap0i35zr8CzVPgFsc4_wZJTHdBdD9JyiMLvsypNArsfcV,,,True,False
EQAU1_1Ac4o3xPgUmNfRxUVYZbrH7Q3iUl9BqN4AVck9hbA6,,,True,True
EQBKmJMGdBQe6R3E4XmW3iqsDXc__pAgYh36IGiTlsAfC-Jv,,,True,False
EQD3VFlJkA9cFoV6dnoXWornqmISfKHQKKF2RmrKWemRN7pE,,,True,False
EQAHLKhrgPFlNejR63nZZsF1G2h7EkOVdinNXH7sfzgr2Oju,,,True,False
EQA5Sts3vKXoVfoqtW8MLEpIm-8LQe04YR5CQ3P8g6wM_h4t,,,True,False
EQBaDgzBj0AgApgq66KealsiemAN6CcjBhB3x3z8Rlqg3iIh,,,True,True
EQBK54nGv7b9vUkHmMJdj-yfYQZyWtcT3HnUCprcq_5qMWn8,,,True,False
EQAdSQFNyPCbT14QKPBZzpQkf4MC5AvYsiNYZolymzrckMBs,,,True,False
EQC-A0ZHiAliPJ6LYQQZ6x2WRJC0aHEmJ_OMG6pidb5ASpIY,EXTON COIN,EXC,True,False
EQDT1RKLT0MI3J0Z87PW4l_mMEExDNGqw8ONy0KO-MPemJVt,,,True,False
EQDwWRly0KyqXjub1gPTionpwp5G8jUgd1MGTMllsanIuSgn,,,True,True
EQC61IQRl0_la95t27xhIpjxZt32vl1QQVF2UgTNuvD18W-4,Orbit Bridge USDC,oUSDC,True,True
EQAE8sAbvxMoIrN2tAuOe4vI5H4JhnHI-zn2VoRy-agH7BCn,,,True,False
EQDj63dNqq3rDYjdmcjPJ20JwR84xcjG08zeYQaUE3vS4Ij1,,,True,False
EQC1naNxhN4MSA1hlFzdrOmfEe-MaWi2M7Nc78sJF4Bjq_eg,,,True,True
EQDwLXgx-5vKSAFjLWz6_rocruC9siIJW01lFVCfyWkFS-_6,,,True,True
EQBhFN9VsgzCKkEKce4YJ_UN2QBGErPxZd2IxIF4lCUWWcmU,,,True,False
EQBczDrRidzaWuO09DK4Uqb4d8VHcQPB7Az15rgl2f8hCoCp,,,True,False
EQDcBkGHmC4pTf34x3Gm05XvepO5w60DNxZ-XT4I6-UGG5L5,TON Bridge WBTC,jWBTC,True,True
EQAQXlWJvGbbFfE8F3oS8s87lIgdovS455IsWFaRdmJetTon,JetTon,JETTON,True,True
EQAhtshxZcMsWARiXGvBJqkcHApPdAD35gWA6Jf8RX7S2vLH,,,True,True
EQAQDi1B91zfjqZU8eZxerAebhJBKZUc6H0kYnkbtwQfjStB,,,True,False
EQBheKQEAbsC76sCpYQV715tZXxGzDJnu8m4fnkMkGdJPbcb,,,True,False
EQDODkpfxZ4joe3RxBckjgvCCQH-TXxozbNwTOoCUoOMCfX8,GRIMACE COIN,GRIMACE,True,True
EQCNsDZ1gCN-_xGSxKLHua1sMNqzBjOt-vXYEmrOoJ6uvBfW,,,True,False
EQA6TSGRCU46M9RgHvpRu1LcW6o1RRbhYrdwaVU4X4FEp_Z2,,,True,False
EQBFSCbD_WV0YdN_H9H_VoNTPZ3Ixpy9Gh6561d-kep2wkXl,,,True,False
EQBPcIYml3WvKeIqV_GlNCV7kUWFHzaei9xG_LEHoERG7xkQ,,,True,False
EQAA71aq4hc_1VmmWaS8bMqmDqlBKD2Wug_1E6koNwcTGlwr,,,True,False
EQD8q1JGu_SsDuY3BafDhhfMOnyR4H3Mowl6QRlU0GX1UX_w,,,True,False
EQB_2ltrBgm7iH99gKFaLzVWFnqbRJxbD_eXZ8q7ogkF9kUp,,,True,False
EQCHYC61mWX0w__x9aYOzyVR_Q5kMAvDupBDIu9AHvfNCnxw,,,True,False
EQDpdmk9DyD8J1w8cZV5R411Ki38t3n-wjXrkIBD_-GDZ89a,,,True,True
EQAA7ckPtTtZ5msFtmIem3-AAuUG7HVmn9_ehgD_qB37Hty4,,,True,False
EQCA4a0fi5CCkKowfZVASYOcaz9nJhhWI7DijU2vsohyMGNn,JogjaTON,JOG,True,True
EQDm76ILtnuG6n_LHtiHfEzEqIyi2cviRavHkv6zRIMn9PfY,,,True,False
EQB9IR7SFkjysGSzLjgEtZ4uTL4GNwhDFh37h9mIgzyGUxcF,,,True,False
EQApywi9nD2NIqn_CAg70jAv6ZYDUgPbT29VqsUlr7kKk7YM,,,True,False
EQAXkRGNKxngWtEdsQJPAUEdksUKevMhykDYCUvHAeHnkyGu,,,True,False
EQCcJCnacSO36aJ-Z_k8gtNONxX7PP55yRwZRwNU-KFOs72v,,,True,True
EQB9wkl9_5fB1Yo3SP2mMYwZRmmiD2bs1Qy4B1vkPS2Kz8T6,,,True,False
EQARsngDfqbLy188mFVQLQmXS13K7anvr93B8DnzJDW8TPNr,,,True,False
EQAVHqDs8vwFpuXgTnxZeyyqzNY9jhgGwkgmk4OHWVMvVQi4,,,True,False
EQBt4EjEW3q99zlYCTnBtR9vPVSNmH6c1oDcm7VUyuA_QhhO,,,True,False
EQCfJ4Su11h0_MB2XRvIjm8gw0y2AB4RZEfOoPOweyVIzvda,Milyman,MILY,True,False
EQCGiKyybyQyG7-Qt2LA9LP2aBGMzWAXP58kTCURABEngg2V,,,True,False
EQC-2dRgM7eYeDpOpI_KZU_4sIaiuegK0ruh144kcWn8RIvC,,,True,True
EQDetcmWrfHLPRPVh3LoFvwso0zsjFnpmmXTKWj7s1ycNgu2,,,True,True
EQDo_ZJyQ_YqBzBwbVpMmhbhIddKtRP99HugZJ14aFscxi7B,TON Bridge DAI,jDAI,True,True
EQBk0iOnG6u4yVzf4HfZf7EGuetWiKbyR5GApBgblmeG-jPL,RED X,REDX,True,False
EQCQ_b6Xyx9RJmw8kDRHcU6WvSWp0ixaQaqmvRqGPj8uSRQg,,,True,False
EQA4m9ywsmMQfpNwYzp4mAu48NTUa4P72jImDBLEpziim-fx,,,True,True
EQBNQ9Sj_yivncV-pMgYe0RYMRjGkTW6H1IyhoMFdz-Pb5ZH,,,True,False
EQBRpy4z1ZfqtmffjEfSqGMH0WpfMcLXBmnrhJNLbDc5zlLM,,,True,False
EQCQslZBWJGa04yuC0CmdhdWLHAd7ZIt0AaFLPzD_3qDqDHD,,,True,True
EQDus18A5LdBSHbEwJDgYLATv09rNLleCjRkQkWlCRFiyYI6,,,True,False
EQAt4kAVyrpX0I75ew7HYn2Nlpm7mTyFrpLuPW5wU0l_3tRl,,,True,False
EQCOkkTTyaIffwzW-LuT2BvYvrhWYwJaIEFh2vU4Ck8m5PV7,,,True,False
EQDXjQCw8uQGp-nCUdl7UM7gMOpD5oL5i1yKRL_HFFGLGQN1,,,True,False
EQBzyesZ3p1WGNrggNSJi6JFK3vr0GhqJp4gxker9oujjcuv,TonTake,TAKE,True,True
EQB6BzM7F4OqRtNawnLGDP-y4RCxA-6oduFRMAFSB7-9mhOl,,,True,False
EQD0SpxUpiG2ut_uDtpZU_1IKxnylgydPA_aD6LpCQ21MSRI,,,True,False
EQDYx2OExGS_XgZJWvNIl3Kog_aNtfvHhPEqGz5-Cl3gT8R1,,,True,False
EQBWfUARGizYP_73lKMvSwwufEA02jdjq78s4XCAfsqbOAqb,,,True,False
