source,target,label
0,10,-9.66580891649378
0,17,-4.334616578137168
0,89,-22.26348775360425
0,115,-4.0160219067639344
0,177,-12.763501497386889
0,205,-12.890945589076331
0,46,-1.505471907060474
0,269,-16.233185123439952
0,296,-20.85580431522437
0,312,-4.600515321431174
0,318,-19.475653605753728
0,56,-32.18033911412144
0,339,-4.434923752361272
0,341,-12.744459443435343
0,357,-18.09029496801966
0,363,-29.104516311866572
0,364,
0,365,-16.280364411505868
0,370,-17.35982066633831
0,375,19.167795431814316
0,384,-3.321928094887362
0,386,16.086263506181574
0,476,-11.665584866424979
0,503,-9.965784284662087
0,515,-1.031708859727338
0,529,-9.797063809893924
0,540,9.965784284662087
0,568,13.282074868584086
0,612,-18.930396087766987
0,663,-7.775776412721812
0,664,-20.264780463225375
0,704,-11.82256948243197
0,744,10.059344460824425
0,747,
0,757,-21.82706191531873
0,768,-12.265781458189943
0,788,-8.174925682500678
0,800,-14.816605662765726
0,805,-13.287712379549449
0,636,-11.104504787536515
0,809,
0,830,-15.228838658314508
0,847,-4.238666100459187
0,857,-4.566208155819385
0,861,-9.89026427702111
0,877,-20.390935456484073
0,921,-11.66266837551754
0,622,-33.99793030378796
0,964,9.965784284662087
0,1069,-12.163502173337285
0,1072,-1.3832373855472517
0,1088,-13.232555836239737
0,1170,-8.519636252843213
0,1174,-24.72704008430468
0,1190,-23.430817535996063
0,47,-12.642409753958237
0,1225,26.569642420989783
0,1246,-8.997179480937621
0,14,-8.311858312184658
0,1302,-10.189633123043167
0,1314,-9.964340867792417
0,1329,3.1742509268451022
0,1407,
0,1420,-9.965784284662087
0,1439,-15.194896243043384
0,1447,-6.555632637950237
0,1460,16.717915647627667
0,171,20.733065815393644
0,1473,-14.111543245749719
0,672,-17.86852572752629
0,1497,10.791083955780795
0,83,-37.76862753215014
0,1532,-10.76553842393536
0,1540,-9.618792440499218
0,1621,-9.623881490013458
0,1677,13.287712379549449
0,1686,22.87262408793808
0,1687,19.874430266604158
0,1692,-12.544970257578328
0,16,-8.875783492845162
0,1142,-15.294050241562767
0,1730,-14.159792516058786
0,628,3.506375797315041
0,1747,
0,1827,-9.965784284662087
0,1641,-29.894231115294204
0,960,-13.337524019965361
0,1596,-9.470797152988181
0,1376,9.98584193700334
0,1930,-3.7975591429158797
0,1963,3.412711696677932
0,1966,13.562965836044796
0,1967,-14.932461285945461
0,1989,-5.722142928066013
0,189,-12.630189657251103
0,2044,-24.533803496814134
0,401,-15.385323176175872
0,2096,-9.566054038171092
0,2124,-8.986366071040505
0,2175,
0,457,-9.46352437327118
0,535,-3.3466295546477514
0,2215,-31.321943773664113
0,2245,-9.837627933171404
0,1485,-9.012013702816533
0,2274,9.965784284662087
0,76,-0.9743219751037558
0,246,-3.6093095622546967
0,1955,9.975847968006784
0,2350,-7.98299357469431
0,2365,-9.829722735086058
0,1902,-16.665604827768565
0,2436,-9.965784284662087
0,468,-6.126986960606508
0,2452,-4.820160883870661
0,2513,-21.775298968276477
0,1468,-11.185169440057297
0,2523,-5.790958612012602
0,473,1.8109292751560266
0,473,0.7356333859782954
0,2584,-11.496901785057595
0,2592,-3.1488171627262025
0,2597,
0,2616,-9.938109326219239
0,2625,13.287712379549449
0,2631,-22.278992858722884
0,190,-7.431065544481827
0,2656,-6.274335646985318
0,2674,8.623701598025189
0,2486,-3.703947556272304
0,1066,-4.3946683232486095
0,379,19.925787665218436
0,2702,-12.071197761521232
0,2710,-26.186838864701112
0,253,-16.335682850509816
0,1833,-8.476543706214256
0,862,-53.224371977049636
0,2386,-18.436687943441868
0,1512,-17.518937454325332
0,1014,-3.048363021561399
0,337,-22.640307849528934
0,2921,-8.199672344836364
0,2949,-8.263660439708183
0,3005,-9.31741261376487
0,75,7.400180922436126
0,3071,-11.165535141377925
0,3082,
0,3087,6.759326422008392
0,3111,-58.14640686762572
0,3123,
0,3189,2.3878720774784465
0,3202,-9.80973599139903
0,3208,-9.937186560431915
0,3279,-9.283088353024002
0,3282,-7.805686460598905
0,3294,-12.408890078405744
0,21,19.925787665218436
0,2910,-16.350283967674347
0,174,8.136078602711807
0,3390,-14.056837157961702
0,3134,-2.9822790181537284
0,3400,-9.526170493085395
0,3414,-6.405192114379832
0,3476,-8.829722735086058
0,3513,11.219696126403381
0,3525,-13.417428919358391
0,1823,-13.963773548387403
0,458,-8.478786749623124
